country,year,region,income,GDP_original,GDP_increased,GDP_change_pct,CO2_predicted_original,CO2_predicted_increased,CO2_change_absolute,CO2_change_pct
Albania,2018,Europe & Central Asia,Upper middle income,15379508329.7568,16917459162.732481,10,26.45446747783444,26.812897074729335,0.3584295968948936,1.3548925042441815
Albania,2004,Europe & Central Asia,Upper middle income,7406645793.44038,8147310372.784419,10,-16.588249667741536,-16.415632896830232,0.17261677091130423,-1.0405966534672113
Albania,2006,Europe & Central Asia,Upper middle income,9150528132.17633,10065580945.393965,10,0.33387648445363993,0.5471355847751056,0.21325910032146567,63.87365096120674
Albania,2021,Europe & Central Asia,Upper middle income,18031989573.0294,19835188530.33234,10,2.4108033458157934,2.8310507695497336,0.4202474237339402,17.43184173289474
Albania,2009,Europe & Central Asia,Upper middle income,12335540656.1006,13569094721.71066,10,7.3246447157293915,7.612132636022125,0.2874879202927332,3.9249401363504224
Albania,2023,Europe & Central Asia,Upper middle income,23491242727.4082,25840367000.14902,10,NA,NA,NA,NA
Algeria,2012,Middle East & North Africa,Upper middle income,227143746075.934,249858120683.5274,10,142.58357653789096,147.87731152587264,5.293734987981679,3.7127242256929165
Algeria,2020,Middle East & North Africa,Upper middle income,164873415325.201,181360756857.7211,10,186.76130639208907,190.60379020409448,3.842483812005412,2.0574303565527927
Algeria,2010,Middle East & North Africa,Upper middle income,177785053939.531,195563559333.48413,10,124.78645240603487,128.92985048165383,4.143398075618961,3.3203909524865858
Algeria,2008,Middle East & North Africa,Upper middle income,180383848331.135,198422233164.24854,10,93.31203069197602,97.51599538690584,4.203964694929823,4.505276183311404
Algeria,2014,Middle East & North Africa,Upper middle income,238942664192.59,262836930611.84903,10,178.40334618553334,183.97206275118788,5.56871656565454,3.1214193481905137
Angola,2021,Sub-Saharan Africa,Lower middle income,79559543805.2963,87515498185.82593,10,101.0655839828895,102.91977168537267,1.8541877024831592,1.834638092822058
Angola,2013,Sub-Saharan Africa,Lower middle income,148845200696.792,163729720766.4712,10,71.7319518720924,75.20088755856455,3.4689356864721503,4.8359700188525805
Antigua and Barbuda,2006,Latin America & Caribbean,High income,1303674074.07407,1434041481.481477,10,-14.375763177824581,-14.34538019269695,0.03038298512763049,-0.2113486759054152
Argentina,2010,Latin America & Caribbean,Upper middle income,423627422092.49,465990164301.739,10,188.05477611076935,197.9276929087946,9.872916798025244,5.250021829921421
Argentina,2013,Latin America & Caribbean,Upper middle income,552025140252.246,607227654277.4706,10,213.61581533757544,226.4811257398344,12.865310402258956,6.022639466992649
Armenia,2015,Europe & Central Asia,Upper middle income,10553337518.414,11608671270.2554,10,27.739193153913448,27.985145653272752,0.24595249935930497,0.8866606104749156
Armenia,2006,Europe & Central Asia,Upper middle income,6384452066.5146,7022897273.16606,10,NA,NA,NA,NA
Armenia,2013,Europe & Central Asia,Upper middle income,11121464437.0415,12233610880.745651,10,26.798952122333503,27.058145194672306,0.2591930723388032,0.9671761461255004
Armenia,2003,Europe & Central Asia,Upper middle income,2807061008.69084,3087767109.559924,10,NA,NA,NA,NA
Armenia,2007,Europe & Central Asia,Upper middle income,9206301269.79164,10126931396.770803,10,NA,NA,NA,NA
Armenia,2019,Europe & Central Asia,Upper middle income,13619290539.2116,14981219593.132761,10,3.525885032549354,3.8432915915431067,0.3174065589937527,9.002181184684153
Armenia,2021,Europe & Central Asia,Upper middle income,13878908628.9378,15266799491.831581,10,-9.635685321229971,-9.312228191226268,0.32345713000370324,-3.3568668882434483
Australia,2007,East Asia & Pacific,High income,856603595823.192,942263955405.5114,10,397.172162275589,417.1358747016586,19.963712426069605,5.026463161891297
Australia,2009,East Asia & Pacific,High income,931761689770.843,1024937858747.9274,10,399.6739354165725,421.38925684986384,21.715321433291365,5.433259341932794
Australia,2018,East Asia & Pacific,High income,1433144978761.67,1576459476637.8372,10,416.25845965684243,449.65884970933666,33.40039005249423,8.023954655487131
Australia,2013,East Asia & Pacific,High income,1583737461925.39,1742111208117.929,10,505.00877976342076,541.9188270740297,36.91004731060889,7.3087931912589665
Austria,2023,Europe & Central Asia,High income,516670509628.876,568337560591.7637,10,NA,NA,NA,NA
Austria,2009,Europe & Central Asia,High income,399290118782.429,439219130660.67194,10,81.1269037620907,90.43262363626786,9.305719874177157,11.470571959046673
Austria,2014,Europe & Central Asia,High income,438556021078.034,482411623185.83746,10,38.17246807036281,48.39330572527524,10.22083765491243,26.775417392641454
Austria,2011,Europe & Central Asia,High income,428954737064.057,471850210770.46277,10,78.62604523985874,88.62311863098489,9.99707339112615,12.714709687647149
Austria,2007,Europe & Central Asia,High income,386760177589.497,425436195348.4467,10,113.74875097629683,122.76245229730557,9.013701321008739,7.924220040787111
Azerbaijan,2003,Europe & Central Asia,Upper middle income,7276413079.11451,8004054387.025961,10,57.593098656712414,57.7626802682222,0.16958161150978412,0.29444779924168846
Azerbaijan,2013,Europe & Central Asia,Upper middle income,74160560123.6902,81576616136.05923,10,13.726514546204498,15.454875368975536,1.7283608227710374,12.591403425488986
Azerbaijan,2006,Europe & Central Asia,Upper middle income,20981929497.6188,23080122447.380684,10,28.059674098795654,28.548671820351956,0.48899772155630217,1.7427063473174491
"Bahamas, The",2007,Latin America & Caribbean,High income,10618340000,11680174000,10,-12.583207741081651,-12.335740315967087,0.24746742511456432,-1.9666481727598981
Bahrain,2004,Middle East & North Africa,High income,13150159574.4681,14465175531.914911,10,NA,NA,NA,NA
Bahrain,2014,Middle East & North Africa,High income,34772526595.7447,38249779255.31917,10,16.300346231826097,17.1107429248475,0.8103966930214028,4.971653248929889
Bangladesh,2017,South Asia,Lower middle income,293732446624.596,323105691287.05566,10,150.79365931782513,157.63928794139406,6.845628623568928,4.539732409530906
Bangladesh,2002,South Asia,Lower middle income,54724081490.5102,60196489639.561226,10,-22.55648893231853,-21.281108078228726,1.2753808540898035,-5.654163898985453
Bangladesh,2007,South Asia,Lower middle income,79611644974.5571,87572809472.01282,10,28.03476030632214,29.890162260957936,1.855401954635795,6.618219433170548
Bangladesh,2010,South Asia,Lower middle income,115275540051.262,126803094056.3882,10,63.35951441860368,66.04608699729067,2.6865725786869916,4.240203864154233
Bangladesh,2018,South Asia,Lower middle income,321362752441.78,353499027685.95807,10,165.53750611053908,173.02707725579273,7.489571145253649,4.52439529942684
Bangladesh,2019,South Asia,Lower middle income,351231654603.692,386354820064.0613,10,180.81402285159413,188.99970848451778,8.18568563292365,4.527129867378802
Barbados,2006,Latin America & Caribbean,High income,4217323400,4639055740,10,-9.152250449445319,-9.053962942860153,0.09828750658516583,-1.073916269316282
Belarus,2002,Europe & Central Asia,Upper middle income,14594900944.7658,16054391039.242382,10,70.19336005896128,70.53350386266345,0.34014380370217623,0.48458116752989316
Belarus,2005,Europe & Central Asia,Upper middle income,30210091836.8294,33231101020.51234,10,63.78042555206298,64.4844916903985,0.70406613833552,1.1038906251272997
Belarus,2014,Europe & Central Asia,Upper middle income,78813069120.9984,86694376033.09825,10,68.68650275439177,70.52329337145147,1.8367906170597053,2.6741652921647145
Belgium,2014,Europe & Central Asia,High income,537987419164.351,591786161080.7861,10,69.34257713403235,81.88072917706586,12.538152043033506,18.08146244521385
Belgium,2019,Europe & Central Asia,High income,536726344405.489,590398978846.038,10,55.39388192841784,67.9026437914938,12.50876186307596,22.581486307892767
Belgium,2017,Europe & Central Asia,High income,500908767351.53,550999644086.6831,10,56.48349695987372,68.15750653894065,11.674009579066933,20.668000756681607
