country,region,income,avg_CO2_transport,avg_CO2_transport_pc,avg_transport_intensity,avg_renewable_pct,avg_population,EV_adoption_rate,Clean_factor,Emissions_reduction_Mt,Scenario
Afghanistan,South Asia,Low income,3.5918,9.408601829066113e-5,32.36272393669181,19.1,37769273.88888889,0.3,0.4337,0.46732909799999994,30% EV Adoption
Albania,Europe & Central Asia,Upper middle income,1.9930444444444444,7.718516366356175e-4,41.13573603436255,39.857142857142854,2569839.3333333335,0.3,0.579,0.34619182,30% EV Adoption
Algeria,Middle East & North Africa,Upper middle income,44.562466666666666,0.001034035402171061,25.44041184500711,0.1285714285714286,43200436.44444445,0.3,0.3009,4.022653866,30% EV Adoption
Angola,Sub-Saharan Africa,Lower middle income,7.261111111111111,2.2575348098824056e-4,26.542967411143465,52.02857142857143,32401887.777777776,0.3,0.6642,1.4468489999999998,30% EV Adoption
Antigua and Barbuda,Latin America & Caribbean,High income,0.11204444444444445,0.0012256769315370948,35.33279257953395,0.6625,91387.44444444444,0.3,0.3046375,0.010239881833333332,30% EV Adoption
Argentina,Latin America & Caribbean,Upper middle income,46.55762222222222,0.0010404290657764226,24.719212353764043,9.914285714285715,44749457.44444445,0.3,0.36939999999999995,5.159515694666666,30% EV Adoption
Armenia,Europe & Central Asia,Upper middle income,2.003988888888889,6.742725514289089e-4,30.64127388144186,10.77142857142857,2973900,0.3,0.37539999999999996,0.22568922866666663,30% EV Adoption
Aruba,Latin America & Caribbean,High income,0.1748888888888889,0.0016154724829130825,35.33768852350139,8.0125,108270.55555555556,0.3,0.3560875,0.018682724166666668,30% EV Adoption
Australia,East Asia & Pacific,High income,93.15144444444445,0.0036993068228693103,23.492206034556315,10.357142857142858,25212319.666666668,0.3,0.3725,10.409673916666668,30% EV Adoption
Austria,Europe & Central Asia,High income,22.988644444444443,0.0025907199864413726,34.95726282013068,34.75714285714286,8882627.444444444,0.3,0.5433,3.746919158,30% EV Adoption
Azerbaijan,Europe & Central Asia,Upper middle income,7.932966666666666,7.944827440691328e-4,21.629305185754244,1.7571428571428571,9972425,0.3,0.31229999999999997,0.7432396469999998,30% EV Adoption
"Bahamas, The",Latin America & Caribbean,High income,0.46443333333333336,0.0011802673846186933,35.32753781008611,1.1875,393388,0.3,0.3083125,0.042957180625,30% EV Adoption
Bahrain,Middle East & North Africa,High income,3.648288888888889,0.0024587977019741108,10.196161803790496,0,1484481.3333333333,0.3,0.3,0.328346,30% EV Adoption
Bangladesh,South Asia,Lower middle income,11.523433333333333,6.970735350620466e-5,10.84693101247717,28.1,165069575.66666666,0.3,0.49670000000000003,1.7171068010000001,30% EV Adoption
Barbados,Latin America & Caribbean,High income,0.2245777777777778,7.993292346674873e-4,30.892586267760635,4.2625,281019.55555555556,0.3,0.3298375,0.022222251833333335,30% EV Adoption
Belarus,Europe & Central Asia,Upper middle income,10.776333333333334,0.0011495758274184579,18.301114197449433,7.485714285714286,9370765.888888888,0.3,0.3524,1.13927396,30% EV Adoption
Belgium,Europe & Central Asia,High income,24.178355555555555,0.0021045312739289795,25.094706956401463,10.457142857142857,11497973.888888888,0.3,0.3732,2.7070086879999997,30% EV Adoption
Belize,Latin America & Caribbean,Upper middle income,0.11072222222222222,2.87253276710076e-4,34.91078041895466,31.9375,384476.8888888889,0.3,0.5235624999999999,0.017391001041666663,30% EV Adoption
Benin,Sub-Saharan Africa,Lower middle income,5.3457,4.240687400411742e-4,72.78182891684125,47.41428571428571,12729169.555555556,0.3,0.6318999999999999,1.0133843489999999,30% EV Adoption
Bermuda,North America,High income,0.09464444444444445,0.001477475049502696,35.325014679862605,0.8125,64100.666666666664,0.3,0.3056875,0.008679487083333335,30% EV Adoption
Bhutan,South Asia,Lower middle income,0.2617,3.4249075805994363e-4,17.08106592240304,81.4125,764461,0.3,0.8698874999999999,0.06829486762499999,30% EV Adoption
